date,total_stocks,up_gt_1pct,up_gt_2pct,down_gt_1pct,down_gt_2pct,moved_gt_1pct,moved_gt_2pct,pct_moved_gt_1pct,pct_moved_gt_2pct,pct_up_gt_1pct,pct_up_gt_2pct,pct_down_gt_1pct,pct_down_gt_2pct
2024-12-02,2292,923,585,347,142,1270,727,55.4,31.7,40.3,25.5,15.1,6.2
2024-12-03,2266,1008,571,300,139,1308,710,57.7,31.3,44.5,25.2,13.2,6.1
2024-12-04,2267,769,437,391,151,1160,588,51.2,25.9,33.9,19.3,17.2,6.7
2024-12-05,2267,574,292,527,192,1101,484,48.6,21.3,25.3,12.9,23.2,8.5
2024-12-06,2269,779,460,367,151,1146,611,50.5,26.9,34.3,20.3,16.2,6.7
2024-12-09,2293,741,463,498,220,1239,683,54.0,29.8,32.3,20.2,21.7,9.6
2024-12-10,2265,646,367,615,302,1261,669,55.7,29.5,28.5,16.2,27.2,13.3
2024-12-11,2264,614,358,502,233,1116,591,49.3,26.1,27.1,15.8,22.2,10.3
2024-12-12,2262,336,167,1107,564,1443,731,63.8,32.3,14.9,7.4,48.9,24.9
2024-12-13,2260,479,234,737,286,1216,520,53.8,23.0,21.2,10.4,32.6,12.7
2024-12-16,2290,728,459,488,221,1216,680,53.1,29.7,31.8,20.0,21.3,9.7
2024-12-17,2260,389,233,1047,453,1436,686,63.5,30.4,17.2,10.3,46.3,20.0
2024-12-18,2263,304,167,1169,614,1473,781,65.1,34.5,13.4,7.4,51.7,27.1
2024-12-19,2264,443,234,840,342,1283,576,56.7,25.4,19.6,10.3,37.1,15.1
2024-12-20,2265,184,110,1672,1218,1856,1328,81.9,58.6,8.1,4.9,73.8,53.8
2024-12-23,2299,412,215,975,556,1387,771,60.3,33.5,17.9,9.4,42.4,24.2
2024-12-24,2266,581,314,494,225,1075,539,47.4,23.8,25.6,13.9,21.8,9.9
2024-12-25,2266,581,314,494,225,1075,539,47.4,23.8,25.6,13.9,21.8,9.9
2024-12-26,2267,385,191,836,406,1221,597,53.9,26.3,17.0,8.4,36.9,17.9
2024-12-27,2273,522,271,556,264,1078,535,47.4,23.5,23.0,11.9,24.5,11.6
2024-12-30,2313,384,231,1135,672,1519,903,65.7,39.0,16.6,10.0,49.1,29.1
